HZ,fft
0,0.12097168
0.33316675,0.10839656
0.6663335,0.6109124
0.99950025,1.478438
1.332667,0.2504863
1.66583375,3.6432955
1.9990005,3.7636125
2.33216725,1.5411669
2.665334,0.7659837
2.99850075,0.7567455
3.3316675,1.0470104
3.66483425,0.51242626
3.998001,1.2609298
4.331167749,0.6578633
4.664334499,0.81265754
4.997501249,0.46999288
5.330667999,4.06426
5.663834749,2.505852
5.997001499,2.3921008
6.330168249,0.8026885
6.663334999,1.0100019
6.996501749,0.7416897
7.329668499,1.1622018
7.662835249,1.097362
7.996001999,1.0274436
8.329168749,2.682442
8.662335499,3.881936
8.995502249,2.01868
9.328668999,2.7179751
9.661835749,0.8798736
9.995002499,0.35785976
10.32816925,0.9123375
10.661336,3.1198862
10.99450275,1.6240481
11.3276695,1.3542591
11.66083625,1.2603391
11.994003,1.1094942
12.32716975,2.1089423
12.6603365,3.8784604
12.99350325,0.43085688
13.32667,2.3058956
13.65983675,1.7589407
13.9930035,2.8402405
14.32617025,0.9013088
14.659337,1.0003899
14.99250375,0.49034223
15.3256705,0.39794
15.65883725,0.9262049
15.992004,5.559531
16.32517075,0.70780164
16.6583375,2.3859286
16.99150425,1.0689622
17.324671,1.3601086
17.65783775,0.87963134
17.9910045,0.43518418
18.32417125,0.9166143
18.657338,0.66550314
18.99050475,0.92915493
19.3236715,1.5790997
19.65683825,3.1243842
19.990005,2.6391342
20.32317175,2.882772
20.6563385,2.5875509
20.98950525,0.9883614
21.322672,0.43714577
21.65583875,0.23144965
21.9890055,0.6690804
22.32217225,0.48728144
22.655339,0.755184
22.98850575,1.4332905
23.3216725,5.8282814
23.65483925,4.4104204
23.988006,1.5095516
24.32117275,0.9879965
24.6543395,1.114263
24.98750625,0.643538
25.320673,0.62855244
25.65383975,0.83331984
25.9870065,0.1942096
26.32017325,1.0641216
26.65334,1.3425406
26.98650675,4.119347
27.3196735,0.48786584
27.65284025,2.5942438
27.986007,1.0170869
28.31917375,0.81062484
28.6523405,0.6618961
28.98550725,1.257678
29.318674,0.574363
29.65184075,0.9616139
29.9850075,0.45561436
30.31817425,3.688907
30.651341,3.2268047
30.98450775,6.232863
31.3176745,1.3486966
31.65084125,1.1452732
31.984008,0.900096
32.31717475,0.80454797
32.6503415,0.42190102
32.98350825,0.53850424
33.316675,1.3164543
33.64984175,0.59014636
33.9830085,0.50661474
34.31617525,3.3816588
34.649342,2.5288088
34.98250875,3.960749
35.3156755,1.0142963
35.64884225,0.7737426
35.982009,0.27950945
36.31517575,1.2055337
36.6483425,0.9125938
36.98150925,1.8334253
37.314676,1.0793579
37.64784275,7.3540406
37.9810095,4.2194276
38.31417625,12.337752
38.647343,1.7594225
38.98050975,2.3755374
39.3136765,2.191588
39.64684325,1.2626091
39.98001,1.6377361
40.31317674,0.7609887
40.64634349,0.88569325
40.97951024,0.6724498
41.31267699,1.3033248
41.64584374,2.055165
41.97901049,3.9161618
42.31217724,1.9604769
42.64534399,1.1026624
42.97851074,0.6472623
43.31167749,0.8544378
43.64484424,0.7143941
43.97801099,0.7058407
44.31117774,0.22284469
44.64434449,1.1495193
44.97751124,3.731534
45.31067799,4.926898
45.64384474,5.199429
45.97701149,1.7382293
46.31017824,2.3185143
46.64334499,0.26237953
46.97651174,1.656925
47.30967849,0.8814751
47.64284524,0.9405477
47.97601199,1.1571009
48.30917874,0.72870994
48.64234549,5.077319
48.97551224,3.0988855
49.30867899,3.8729906
49.64184574,0.9986452
49.97501249,1.8000628
50.30817924,1.0319018
50.64134599,2.0523567
50.97451274,1.2240896
51.30767949,2.006673
51.64084624,1.2455089
51.97401299,3.9916542
52.30717974,1.261728
52.64034649,6.767584
52.97351324,2.7126608
53.30667999,2.1662226
53.63984674,0.9020073
53.97301349,1.1216486
54.30618024,1.4931952
54.63934699,1.1089215
54.97251374,1.3454198
55.30568049,1.1865349
55.63884724,1.4129862
55.97201399,3.0603297
56.30518074,1.791579
56.63834749,2.4830272
56.97151424,1.4707941
57.30468099,0.87720674
57.63784774,0.43445706
57.97101449,0.6124179
58.30418124,0.9331371
58.63734799,1.7910614
58.97051474,0.7471475
59.30368149,3.1928942
59.63684824,3.8695092
59.97001499,5.6540604
60.30318174,1.8273008
60.63634849,0.60601133
60.96951524,1.223695
61.30268199,1.1347704
61.63584874,1.0656512
61.96901549,0.40300953
62.30218224,1.6401287
62.63534899,0.74100786
62.96851574,1.1833466
63.30168249,1.361857
63.63484924,2.0158665
63.96801599,1.4933364
64.30118274,2.4009128
64.63434949,0.35263178
64.96751624,0.8731197
65.30068299,1.8224074
65.63384974,0.9746921
65.96701649,0.8214473
66.30018324,0.9517467
66.63334999,0.8721559
66.96651674,3.8309803
67.29968349,7.2283216
67.63285024,1.7082452
67.96601699,1.2546991
68.29918374,0.1927663
68.63235049,0.45859668
68.96551724,1.1648227
69.29868399,0.6416531
69.63185074,1.9785278
69.96501749,0.47875303
70.29818424,1.5700512
70.63135099,1.3750762
70.96451774,1.846355
71.29768449,1.8536105
71.63085124,1.5456845
71.96401799,0.9371045
72.29718474,1.1016309
72.63035149,1.3583198
72.96351824,2.7027555
73.29668499,0.82896256
73.62985174,1.8945124
73.96301849,3.9712336
74.29618524,2.0576754
74.62935199,7.4052954
74.96251874,3.5295014
75.29568549,2.7339683
75.62885224,0.5159534
75.96201899,1.6475376
76.29518574,5.201899
76.62835249,2.407586
76.96151924,1.6036298
77.29468599,1.4771085
77.62785274,1.7486104
77.96101949,1.5081701
78.29418624,1.1382091
78.62735299,2.4472628
78.96051974,1.4002187
79.29368649,2.059086
79.62685324,2.411767
79.96001999,2.0954835
80.29318674,3.0474877
80.62635349,3.1361012
80.95952024,2.1337285
81.29268699,10.223635
81.62585374,8.672181
81.95902049,6.1231914
82.29218724,1.343195
82.62535399,1.6759615
82.95852074,0.43219206
83.29168749,1.2498419
83.62485424,0.36549842
83.95802099,0.7660583
84.29118774,0.96369284
84.62435449,1.1970028
84.95752124,2.011696
85.29068799,0.9464569
85.62385474,2.8429134
85.95702149,2.1509573
86.29018824,0.54508346
86.62335499,0.6808011
86.95652174,0.42176017
87.28968849,0.7683879
87.62285524,1.9029777
87.95602199,2.0520158
88.28918874,1.0022122
88.62235549,9.852589
88.95552224,15.667013
89.28868899,3.4029927
89.62185574,1.1001244
89.95502249,1.8081349
90.28818924,2.1474469
90.62135599,1.1170872
90.95452274,0.29814574
91.28768949,0.75107175
91.62085624,1.8085788
91.95402299,2.346554
92.28718974,3.3000915
92.62035649,2.7360172
92.95352324,5.468727
93.28668999,2.3361027
93.61985674,2.2429097
93.95302349,1.4460708
94.28619024,1.246035
94.61935699,2.1117342
94.95252374,1.1066576
95.28569049,3.3528714
95.61885724,4.685645
95.95202399,12.117124
96.28519074,19.331821
96.61835749,2.00242
96.95152424,5.6519017
97.28469099,1.710193
97.61785774,3.3052812
97.95102449,0.40003362
