HZ,fft
35.3156755,(0.9542438387870789+0.34382522106170654j)
35.64884225,(-0.21789991855621338+0.7424266338348389j)
35.982009,(-0.2264317274093628+0.16387253999710083j)
36.31517575,(0.802340030670166+0.8997567296028137j)
36.6483425,(-0.3779204487800598+0.8306645154953003j)
36.98150925,(0.0011418461799621582+1.8334250450134277j)
37.314676,(-0.05333811044692993+1.0780391693115234j)
37.64784275,(-1.8211839199066162+7.124969959259033j)
37.9810095,(-1.0333662033081055+4.0909318923950195j)
38.31417625,(3.4564614295959473-11.843690872192383j)
38.647343,(-0.060055702924728394-1.7583973407745361j)
38.98050975,(1.5404891967773438-1.8083338737487793j)
39.3136765,(-0.5739332437515259-2.115102529525757j)
39.64684325,(1.2447376251220703-0.2116842269897461j)
39.98001,(-0.678067147731781-1.4907732009887695j)
40.31317674,(0.7603558301925659-0.031027600169181824j)
40.64634349,(-0.0579424649477005-0.8837958574295044j)
40.97951024,(0.2157217115163803+0.6369088888168335j)
41.31267699,(-0.5652603507041931+1.1743662357330322j)
41.64584374,(0.759200930595398-1.9097950458526611j)
41.97901049,(2.1900687217712402-3.2465248107910156j)
42.31217724,(-1.355747103691101+1.416128158569336j)
42.64534399,(-1.0661696195602417+0.2813301086425781j)
42.97851074,(0.5472006797790527-0.34571635723114014j)
43.31167749,(0.39739277958869934+0.7564014196395874j)
43.64484424,(-0.6996534466743469-0.14437411725521088j)
43.97801099,(0.1281234622001648+0.6941148638725281j)
44.31117774,(-0.1985708773136139+0.10114032030105591j)
44.64434449,(-0.39136940240859985+1.0808444023132324j)
44.97751124,(3.0096030235290527-2.206045389175415j)
45.31067799,(4.857769966125488+0.822431206703186j)
45.64384474,(-3.336930990219116-3.987349033355713j)
45.97701149,(0.6801818609237671-1.5996230840682983j)
46.31017824,(-1.2660813331604004-1.9423043727874756j)
46.64334499,(0.1462855190038681+0.21781542897224426j)
46.97651174,(-1.4458801746368408-0.8092162609100342j)
47.30967849,(0.8656318187713623+0.1663731336593628j)
47.64284524,(-0.43250229954719543-0.8352075815200806j)
47.97601199,(0.4992840588092804+1.0438381433486938j)
48.30917874,(-0.7287099361419678+0.00017565488815307617j)
48.64234549,(0.06730441749095917+5.076873302459717j)
48.97551224,(-0.49629881978034973-3.058885097503662j)
49.30867899,(-3.8204257488250732+0.6359277963638306j)
49.64184574,(0.049967776983976364-0.9973943829536438j)
49.97501249,(1.2927672863006592-1.2525888681411743j)
50.30817924,(0.09144674241542816-1.0278418064117432j)
50.64134599,(0.7243239283561707-1.9202923774719238j)
50.97451274,(-0.3658660054206848-1.1681342124938965j)
51.30767949,(0.8839882612228394-1.8014719486236572j)
51.64084624,(0.7027366161346436-1.0283255577087402j)
51.97401299,(3.1879465579986572-2.40214467048645j)
52.30717974,(-0.6319894194602966-1.0920380353927612j)
52.64034649,(-4.094415664672852-5.388501167297363j)
52.97351324,(0.10965868830680847+2.7104432582855225j)
53.30667999,(-2.0964486598968506-0.5453646183013916j)
53.63984674,(-0.8853820562362671+0.17238236963748932j)
53.97301349,(-0.9194948673248291-0.642358660697937j)
54.30618024,(-1.363947868347168+0.6076823472976685j)
54.63934699,(-0.9897437691688538-0.5001142024993896j)
54.97251374,(-1.0185949802398682+0.8789872527122498j)
55.30568049,(-1.1350408792495728-0.3457557260990143j)
55.63884724,(-1.0430697202682495+0.95317143201828j)
55.97201399,(-2.5992026329040527-1.615476131439209j)
56.30518074,(-1.787333607673645+0.12326247990131378j)
